# Time-averaged data for fix f1
# TimeStep Number-of-rows
# Row c_distribution[1] c_distribution[2] c_distribution[3]
100 240
1 0.0104167 0 0
2 0.03125 0 0
3 0.0520833 0 0
4 0.0729167 0 0
5 0.09375 0 0
6 0.114583 0 0
7 0.135417 0 0
8 0.15625 0 0
9 0.177083 0 0
10 0.197917 0 0
11 0.21875 0 0
12 0.239583 0 0
13 0.260417 0 0
14 0.28125 0 0
15 0.302083 0 0
16 0.322917 0 0
17 0.34375 0 0
18 0.364583 0 0
19 0.385417 0 0
20 0.40625 0 0
21 0.427083 0 0
22 0.447917 0 0
23 0.46875 0 0
24 0.489583 0 0
25 0.510417 0 0
26 0.53125 0 0
27 0.552083 0 0
28 0.572917 0 0
29 0.59375 0 0
30 0.614583 0 0
31 0.635417 0 0
32 0.65625 0 0
33 0.677083 0 0
34 0.697917 0 0
35 0.71875 0 0
36 0.739583 0 0
37 0.760417 0 0
38 0.78125 0 0
39 0.802083 0 0
40 0.822917 0 0
41 0.84375 0 0
42 0.864583 0 0
43 0.885417 0 0
44 0.90625 0 0
45 0.927083 0 0
46 0.947917 0 0
47 0.96875 0 0
48 0.989583 0 0
49 1.01042 0 0
50 1.03125 0 0
51 1.05208 0 0
52 1.07292 0 0
53 1.09375 0 0
54 1.11458 0 0
55 1.13542 0 0
56 1.15625 0 0
57 1.17708 0 0
58 1.19792 0 0
59 1.21875 0 0
60 1.23958 0 0
61 1.26042 0 0
62 1.28125 0 0
63 1.30208 0 0
64 1.32292 0 0
65 1.34375 0 0
66 1.36458 0 0
67 1.38542 0 0
68 1.40625 0 0
69 1.42708 0 0
70 1.44792 0 0
71 1.46875 0 0
72 1.48958 0 0
73 1.51042 0 0
74 1.53125 0 0
75 1.55208 0 0
76 1.57292 0 0
77 1.59375 0 0
78 1.61458 0 0
79 1.63542 0 0
80 1.65625 0 0
81 1.67708 0 0
82 1.69792 0 0
83 1.71875 0 0
84 1.73958 0 0
85 1.76042 0 0
86 1.78125 0 0
87 1.80208 0 0
88 1.82292 0 0
89 1.84375 0 0
90 1.86458 0 0
91 1.88542 0 0
92 1.90625 0 0
93 1.92708 0 0
94 1.94792 0 0
95 1.96875 0 0
96 1.98958 0 0
97 2.01042 0 0
98 2.03125 0 0
99 2.05208 0 0
100 2.07292 0 0
101 2.09375 0 0
102 2.11458 0 0
103 2.13542 0 0
104 2.15625 0 0
105 2.17708 0 0
106 2.19792 7.5748e-05 5.33333e-06
107 2.21875 0.000520326 4.26667e-05
108 2.23958 0.00102161 0.000117333
109 2.26042 0.000644666 0.000165333
110 2.28125 0.00154715 0.000282667
111 2.30208 0.00179537 0.000421333
112 2.32292 0.00284834 0.000645333
113 2.34375 0.00686145 0.00119467
114 2.36458 0.00759197 0.00181333
115 2.38542 0.00945426 0.00259733
116 2.40625 0.0118195 0.00359467
117 2.42708 0.0160905 0.004976
118 2.44792 0.0305357 0.00764267
119 2.46875 0.0646078 0.0133813
120 2.48958 0.153632 0.0272587
121 2.51042 0.306659 0.055424
122 2.53125 0.509993 0.103045
123 2.55208 0.762804 0.175451
124 2.57292 1.04669 0.276432
125 2.59375 1.3572 0.409499
126 2.61458 1.68422 0.577291
127 2.63542 2.04129 0.783909
128 2.65625 2.38388 1.02903
129 2.67708 2.70375 1.31143
130 2.69792 2.99478 1.62911
131 2.71875 3.24939 1.97914
132 2.73958 3.4835 2.36017
133 2.76042 3.66957 2.76767
134 2.78125 3.79548 3.19554
135 2.80208 3.86295 3.63757
136 2.82292 3.88398 4.08863
137 2.84375 3.879 4.5458
138 2.86458 3.78939 4.99897
139 2.88542 3.70986 5.4491
140 2.90625 3.59876 5.89208
141 2.92708 3.41077 6.31796
